Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
Delaware Floating Rate Instl,DDFLX,2/26/10,US Fund Bank Loan,No,7/18/18,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,2.00,0.69,24,"149,887,975.00",78,"-71,790,741.75",32,"-160,293,838.79",71,"-385,301,896.30",61,-32.41,73,7.67,44,5.08,42,John P. McCarthy [$0 - None];Adam H. Brown [$0 - None];,5.43,15,0.25,69,6.45,10,0.00,20,0.00,19,5.97,33,33.70,29,45.95,80,7.35,24,0.58,65,16.08,24,138,81,0.00,12,0.00,4,5.52,56,0.00,9,0.00,9,0.00,9,0.00,42,8.63,6,4.33,61,2.34,87,1.20,32,-0.15,31,0.80,91,93.07,85,-2.74,11,2.52,88,2.15,96,0.76,50,-0.16,40,0.64,98,-2.89,12,84.58,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,100,-2.49,7,-0.30,97,-1.08,42,-2.89,26,1.70,100,3.70,19,2.49,12,-2.74,15,,,,
DoubleLine Floating Rate I,DBFRX,2/1/13,US Fund Bank Loan,No,,,,,,,,3.00,0.67,21,"403,011,854.00",56,"-227,731,408.96",52,"119,851,150.02",29,"46,682,668.07",37,-34.32,79,6.42,53,3.71,62,"Robert L. Cohen [$100,001 - $500,000];Philip Kenney [$0 - None];",5.35,24,0.32,51,1.60,38,0.00,20,0.00,19,6.30,26,36.42,17,53.73,44,1.95,82,0.00,82,8.97,68,251,62,0.00,12,0.00,4,10.20,26,0.00,9,0.00,9,0.00,9,0.45,26,0.81,94,3.87,87,2.44,80,0.96,77,-0.80,66,0.86,82,95.63,68,-3.07,29,3.08,67,2.34,90,0.91,23,0.12,23,0.74,94,-3.07,20,89.86,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,24,-0.07,2,-2.56,19,2.34,91,3.23,57,1.97,71,-3.06,32,,,,
Dunham Floating Rate Bond A,DAFRX,11/1/13,US Fund Bank Loan,No,,,,,,,,2.00,1.23,90,"189,883,659.00",75,"-8,534,672.22",23,,,,,-4.34,26,5.67,69,5.67,39,David L. Albrycht [$0 - None];Francesco Ossino [$0 - None];Kyle A. Jennings [$0 - None];,4.56,87,,,,,,,,,,,,,,,,,,,10.15,58,312,41,0.00,12,0.00,4,4.13,69,0.00,9,0.00,9,0.00,9,0.00,42,4.51,39,3.46,96,2.73,55,0.71,94,-1.61,92,0.97,55,97.87,15,-3.60,57,2.34,94,2.74,75,0.52,88,-0.98,82,0.88,73,-3.60,27,94.03,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.52,73,-3.23,32,2.70,78,2.45,96,1.73,90,-3.60,59,,,,
DWS Floating Rate Inst,DFRTX,6/29/07,US Fund Bank Loan,No,,,,,,,,2.00,0.78,66,"231,534,337.00",72,"-90,223,790.82",36,"-674,268,916.13",91,"-2,878,493,330.29",90,-27.83,65,3.25,78,2.54,78,"Gary Russell [$100,001 - $500,000];Mark L. Rigazio [$50,001 - $100,000];",4.75,76,,,0.00,49,0.00,20,0.00,19,12.00,6,43.00,2,41.00,89,3.00,71,1.00,58,16.99,20,214,67,0.00,12,0.00,4,1.42,91,0.00,9,0.00,9,0.00,9,0.00,42,4.33,44,3.32,98,2.79,48,0.66,98,-1.72,96,0.97,57,94.04,77,-3.61,61,1.34,100,3.14,39,0.15,100,-2.27,100,0.99,46,-8.38,92,92.57,71,4.66,95,3.80,30,1.08,100,-1.30,100,0.97,30,94.87,50,-8.38,95,,,,,,,,,,,,,,,5.53,25,-4.04,50,0.38,53,-2.06,88,-8.38,92,2.80,71,3.01,78,1.94,78,-3.61,62,-27.95,41,46.72,25
Eaton Vance Floating-Rate & Hi Inc Inst,EIFHX,9/15/00,US Fund Bank Loan,No,6/7/19,Bronze,Positive,Positive,Neutral,Positive,Neutral,5.00,0.76,55,"1,459,910,213.00",33,"-396,947,354.55",64,"80,747,236.06",37,"-1,237,961,697.02",72,-21.38,56,18.83,4,9.83,16,Michael W. Weilheimer [$0 - None];Scott H. Page [$0 - None];Craig P. Russ [$0 - None];Andrew N. Sveen [$0 - None];Stephen C. Concannon [$0 - None];Kelley G. Baccei [$0 - None];,4.85,68,0.82,1,0.00,49,0.00,20,0.00,19,5.84,40,33.63,31,51.21,58,5.08,38,4.23,22,6.40,98,"1,122",1,0.01,9,0.00,4,16.36,7,0.00,9,0.00,9,0.00,9,2.25,19,3.13,66,5.33,15,2.73,57,1.35,13,0.19,11,0.97,54,96.75,48,-3.56,54,3.74,4,3.20,35,0.88,29,-0.02,27,1.03,35,-5.41,61,94.53,48,6.19,15,3.73,45,1.49,15,0.22,15,0.96,40,96.27,15,-5.41,45,4.49,30,6.92,40,0.47,40,-0.24,40,1.01,40,-31.84,60,97.98,1,5.19,29,-4.00,47,0.27,70,-1.10,44,-5.41,63,4.33,18,3.63,22,2.43,15,-3.56,56,-30.80,82,48.33,15
Eaton Vance Floating-Rate Advantage I,EIFAX,3/17/08,US Fund Bank Loan,No,4/22/19,Bronze,Positive,Positive,Neutral,Positive,Positive,5.00,1.15,95,"8,257,808,156.00",5,"-1,299,397,565.49",84,"2,933,792,915.08",2,"413,616,356.99",20,-13.60,35,22.92,1,11.64,5,"Scott H. Page [$0 - None];Craig P. Russ [$500,001 - $1,000,000];Andrew N. Sveen [$0 - None];",5.32,30,0.19,82,0.00,49,0.00,20,0.00,19,5.49,46,30.37,56,56.04,35,3.60,60,4.50,19,7.44,88,754,2,0.00,12,0.00,4,2.87,78,0.00,9,0.00,9,0.00,9,2.41,17,1.63,84,6.02,2,3.28,6,1.33,15,0.11,16,1.18,2,98.90,1,-4.12,91,4.22,2,3.72,10,0.88,27,-0.06,33,1.22,6,-6.27,77,97.93,2,7.18,5,4.43,1,1.47,25,0.13,25,1.15,1,97.54,1,-6.27,75,4.91,10,8.53,1,0.44,50,-0.52,70,1.24,1,-38.36,90,97.51,20,6.58,1,-4.41,67,0.57,30,-1.10,48,-6.27,78,5.00,9,4.55,1,2.79,1,-4.12,90,-36.93,94,65.84,1
Eaton Vance Floating-Rate NextShares,EVFTC,11/29/17,US Fund Bank Loan,No,,,,,,,,,0.76,,"5,130,860.00",100,"-241,900.89",21,,,,,-2.42,24,1.67,89,1.22,90,Scott H. Page [$0 - None];Craig P. Russ [$0 - None];Andrew N. Sveen [$0 - None];,4.69,79,0.20,75,0.00,49,0.00,20,0.00,19,6.20,28,31.60,49,52.70,49,4.60,47,4.90,13,7.48,83,724,4,0.00,12,0.00,4,3.33,73,0.00,9,0.00,9,0.00,9,2.68,14,2.94,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,2,2.69,4,-3.31,41,,,,
Eaton Vance Floating Rate I,EIBLX,1/30/01,US Fund Bank Loan,No,4/22/19,Bronze,Positive,Positive,Neutral,Positive,Negative,4.00,0.77,62,"7,792,598,921.00",7,"-1,494,260,575.24",88,"86,233,773.71",33,"-6,486,099,452.31",96,-16.09,43,18.50,5,10.17,8,"Scott H. Page [$100,001 - $500,000];Craig P. Russ [$0 - None];Andrew N. Sveen [$0 - None];",4.74,78,0.20,75,0.00,49,0.00,20,0.00,19,6.20,28,31.60,49,52.70,49,4.60,47,4.90,13,7.48,83,724,4,0.00,12,0.00,4,3.33,73,0.00,9,0.00,9,0.00,9,2.68,14,2.94,71,5.18,18,2.60,68,1.36,11,0.18,13,0.93,66,97.52,25,-3.33,39,3.62,18,3.10,46,0.87,37,-0.07,37,1.01,44,-5.47,63,95.93,23,5.68,45,3.48,70,1.45,40,0.07,40,0.90,65,96.42,10,-5.47,50,4.09,50,6.70,50,0.43,70,-0.53,80,0.98,50,-31.20,50,97.56,10,4.83,50,-3.28,24,0.42,47,-0.80,33,-5.47,65,4.31,20,4.26,4,2.65,7,-3.28,38,-30.25,65,46.51,30
Federated Floating Rate Strat Inc Instl,FFRSX,12/3/10,US Fund Bank Loan,No,,,,,,,,4.00,0.74,40,"1,036,076,594.00",42,"-11,137,905.46",24,"454,725,939.53",17,"363,893,611.15",24,-1.05,23,8.58,27,7.11,30,"Mark E. Durbiano [$500,001 - $1,000,000];B. Anthony DelSerone [$100,001 - $500,000];Steven J. Wagner [$100,001 - $500,000];",4.68,81,0.48,14,3.25,29,4.76,2,7.35,2,8.87,13,17.93,87,39.23,94,7.68,17,10.93,4,80.96,1,112,87,0.00,12,8.58,1,11.16,21,4.56,4,0.24,2,0.06,4,3.03,11,3.69,51,4.17,73,2.31,91,1.13,48,-0.38,46,0.82,87,97.06,41,-2.71,9,3.37,37,2.32,92,1.04,8,0.37,10,0.75,90,-2.71,6,94.16,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02,1,0.75,17,-0.24,4,-2.09,8,2.96,55,3.01,80,2.12,42,-2.71,13,,,,
Fidelity Advisor® Floating Rate Hi Inc I,FFRIX,8/16/00,US Fund Bank Loan,No,3/4/19,Bronze,Positive,Neutral,Positive,Neutral,Positive,3.00,0.75,44,"10,355,797,838.00",4,"-1,636,673,806.23",90,"156,424,409.14",26,"-6,529,097,684.75",98,-13.65,37,6.25,55,3.46,67,"Eric Mollenhauer [$1,000,001 and above];Kevin Nielsen [$10,001 - $50,000];",5.00,52,,,0.00,49,0.00,20,0.00,19,5.57,44,32.31,42,53.75,42,6.30,28,2.07,46,12.21,45,434,13,0.00,12,0.00,4,5.45,59,0.00,9,0.00,9,0.00,9,0.00,42,5.46,26,4.91,27,2.79,50,1.19,36,-0.29,39,0.99,46,97.68,22,-3.30,36,3.24,52,3.17,37,0.73,54,-0.52,58,1.03,33,-5.50,65,97.40,6,4.61,100,3.35,85,1.21,90,-0.60,80,0.84,85,90.77,90,-5.50,55,4.08,60,5.00,100,0.55,10,0.33,10,0.70,100,-18.03,1,89.46,90,4.04,75,-3.12,20,0.20,74,-1.66,75,-5.50,67,3.73,36,3.35,43,2.14,38,-3.30,40,-16.50,1,28.83,100
Fidelity® Series Floating Rate Hi Inc,FFHCX,10/20/11,US Fund Bank Loan,No,,,,,,,,4.00,0.01,1,"261,190,378.00",65,"-210,819,975.04",50,"-220,503,782.84",76,"-1,268,730,674.78",74,-44.66,89,7.75,42,4.21,53,Eric Mollenhauer [$0 - None];Kevin Nielsen [$0 - None];,6.88,1,,,0.00,49,0.00,20,0.00,19,2.83,65,31.37,53,55.14,40,8.10,15,2.56,38,10.81,55,390,24,0.00,12,0.00,4,5.45,58,0.00,9,0.00,9,0.00,9,0.00,42,6.50,19,6.00,4,2.71,62,1.60,1,0.86,2,0.96,62,97.37,29,-2.85,15,3.53,25,3.46,20,0.76,48,-0.43,50,1.11,16,-7.94,90,95.26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,21,-2.13,90,-7.94,90,4.02,25,4.19,5,2.72,2,-2.85,18,,,,
